Date : 2025-05-20 16:39:15
Directory : c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim
Total : 397 files,  42390 codes, 5503 comments, 6337 blanks, all 54230 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| C++             |        299 |     29,622 |      5,373 |      5,079 |     40,074 |
| JSON            |         16 |      5,562 |          0 |         15 |      5,577 |
| CMake           |         36 |      1,581 |          0 |        264 |      1,845 |
| Markdown        |          7 |      1,512 |          0 |        490 |      2,002 |
| PIC18 Assembler |         17 |      1,413 |          0 |         17 |      1,430 |
| YAML            |          8 |        775 |         18 |         83 |        876 |
| C               |          1 |        689 |         61 |        155 |        905 |
| CMake Cache     |          1 |        459 |          0 |        115 |        574 |
| PostCSS         |          2 |        345 |         14 |         73 |        432 |
| XML             |          1 |        211 |          6 |          8 |        225 |
| JavaScript      |          2 |        103 |          4 |         20 |        127 |
| HTML            |          3 |         74 |         22 |          8 |        104 |
| Shell Script    |          2 |         25 |          4 |          5 |         34 |
| Python          |          1 |         16 |          1 |          4 |         21 |
| Log             |          1 |          3 |          0 |          1 |          4 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                   |        397 |     42,390 |      5,503 |      6,337 |     54,230 |
| . (Files)                                                                                                                                                                           |          2 |        120 |          0 |         18 |        138 |
| app                                                                                                                                                                                 |         49 |      2,940 |        197 |        551 |      3,688 |
| app\main                                                                                                                                                                            |         49 |      2,940 |        197 |        551 |      3,688 |
| app\main (Files)                                                                                                                                                                    |         15 |        765 |         48 |        143 |        956 |
| app\main\exec                                                                                                                                                                       |         11 |        864 |         46 |        199 |      1,109 |
| app\main\memory                                                                                                                                                                     |          9 |        356 |          9 |         59 |        424 |
| app\main\ui                                                                                                                                                                         |         14 |        955 |         94 |        150 |      1,199 |
| app\main\ui (Files)                                                                                                                                                                 |         10 |        542 |         62 |         79 |        683 |
